method,missing_pct,repeat,accuracy,recall,n_masked,time
EM,0.1,0,0.75,1.0,4,0.002994060516357422
KNN,0.1,0,0.75,1.0,4,1.9258708953857422
RF,0.1,0,0.75,1.0,4,0.0755922794342041
Mode,0.1,0,0.75,1.0,4,4.839897155761719e-05
EM,0.1,1,0.75,1.0,4,0.002550840377807617
KNN,0.1,1,0.75,1.0,4,0.0040972232818603516
RF,0.1,1,0.75,1.0,4,0.0758051872253418
Mode,0.1,1,0.75,1.0,4,6.461143493652344e-05
EM,0.1,2,1.0,1.0,4,0.0026454925537109375
KNN,0.1,2,1.0,1.0,4,0.003970623016357422
RF,0.1,2,1.0,1.0,4,0.07588481903076172
Mode,0.1,2,1.0,1.0,4,4.744529724121094e-05
EM,0.1,3,0.75,1.0,4,0.0024623870849609375
KNN,0.1,3,1.0,1.0,4,0.004060983657836914
RF,0.1,3,0.75,1.0,4,0.07644152641296387
Mode,0.1,3,0.75,1.0,4,5.507469177246094e-05
EM,0.1,4,0.5,1.0,4,0.0025081634521484375
KNN,0.1,4,0.75,1.0,4,0.0039031505584716797
RF,0.1,4,0.5,1.0,4,0.07632231712341309
Mode,0.1,4,0.5,1.0,4,4.673004150390625e-05
EM,0.3,0,0.7692307692307693,1.0,13,0.002529621124267578
KNN,0.3,0,0.7692307692307693,1.0,13,0.004297018051147461
RF,0.3,0,0.7692307692307693,1.0,13,0.07487106323242188
Mode,0.3,0,0.7692307692307693,1.0,13,4.649162292480469e-05
EM,0.3,1,0.6923076923076923,1.0,13,0.002457857131958008
KNN,0.3,1,0.6923076923076923,1.0,13,0.003950357437133789
RF,0.3,1,0.6153846153846154,0.8888888888888888,13,0.07565736770629883
Mode,0.3,1,0.6923076923076923,1.0,13,5.53131103515625e-05
EM,0.3,2,0.6923076923076923,1.0,13,0.0023813247680664062
KNN,0.3,2,0.6923076923076923,1.0,13,0.0042421817779541016
RF,0.3,2,0.7692307692307693,1.0,13,0.07430458068847656
Mode,0.3,2,0.6923076923076923,1.0,13,4.7206878662109375e-05
EM,0.3,3,0.7692307692307693,1.0,13,0.0024423599243164062
KNN,0.3,3,0.7692307692307693,1.0,13,0.004005908966064453
RF,0.3,3,0.7692307692307693,1.0,13,0.07511234283447266
Mode,0.3,3,0.7692307692307693,1.0,13,4.887580871582031e-05
EM,0.3,4,0.0,0.0,13,0.002400636672973633
KNN,0.3,4,1.0,1.0,13,0.004092693328857422
RF,0.3,4,1.0,1.0,13,0.07501411437988281
Mode,0.3,4,1.0,1.0,13,4.696846008300781e-05
EM,0.5,0,0.22727272727272727,0.0,22,0.0024123191833496094
KNN,0.5,0,0.8181818181818182,1.0,22,0.0041408538818359375
RF,0.5,0,0.7727272727272727,1.0,22,0.07449984550476074
Mode,0.5,0,0.7727272727272727,1.0,22,4.649162292480469e-05
EM,0.5,1,0.13636363636363635,0.0,22,0.002336740493774414
KNN,0.5,1,0.9545454545454546,1.0,22,0.004009723663330078
RF,0.5,1,0.8636363636363636,1.0,22,0.07556509971618652
Mode,0.5,1,0.8636363636363636,1.0,22,5.316734313964844e-05
EM,0.5,2,0.13636363636363635,0.0,22,0.0023572444915771484
KNN,0.5,2,0.9090909090909091,1.0,22,0.003832578659057617
RF,0.5,2,0.8636363636363636,1.0,22,0.07438039779663086
Mode,0.5,2,0.8636363636363636,1.0,22,4.7206878662109375e-05
EM,0.5,3,0.13636363636363635,0.0,22,0.0023376941680908203
KNN,0.5,3,0.8636363636363636,1.0,22,0.003987789154052734
RF,0.5,3,0.9090909090909091,1.0,22,0.0743257999420166
Mode,0.5,3,0.8636363636363636,1.0,22,4.792213439941406e-05
EM,0.5,4,0.18181818181818182,0.0,22,0.002525806427001953
KNN,0.5,4,0.8181818181818182,1.0,22,0.003878355026245117
RF,0.5,4,0.8181818181818182,1.0,22,0.07392168045043945
Mode,0.5,4,0.8181818181818182,1.0,22,4.6253204345703125e-05
